Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,usage,dow
1503960366,12/04/2016,1,327,346,high,Tuesday
1503960366,13/04/2016,2,384,407,high,Wednesday
1503960366,15/04/2016,1,412,442,high,Friday
1503960366,16/04/2016,2,340,367,high,Saturday
1503960366,17/04/2016,1,700,712,high,Sunday
1503960366,19/04/2016,1,304,320,high,Tuesday
1503960366,20/04/2016,1,360,377,high,Wednesday
1503960366,21/04/2016,1,325,364,high,Thursday
1503960366,23/04/2016,1,361,384,high,Saturday
1503960366,24/04/2016,1,430,449,high,Sunday
1503960366,25/04/2016,1,277,323,high,Monday
1503960366,26/04/2016,1,245,274,high,Tuesday
1503960366,28/04/2016,1,366,393,high,Thursday
1503960366,29/04/2016,1,341,354,high,Friday
1503960366,30/04/2016,1,404,425,high,Saturday
1503960366,01/05/2016,1,369,396,high,Sunday
1503960366,02/05/2016,1,277,309,high,Monday
1503960366,03/05/2016,1,273,296,high,Tuesday
1503960366,05/05/2016,1,247,264,high,Thursday
1503960366,06/05/2016,1,334,367,high,Friday
1503960366,07/05/2016,1,331,349,high,Saturday
1503960366,08/05/2016,1,594,611,high,Sunday
1503960366,09/05/2016,1,338,342,high,Monday
1503960366,10/05/2016,1,383,403,high,Tuesday
1503960366,11/05/2016,1,285,306,high,Wednesday
1644430081,29/04/2016,1,119,127,low,Friday
1644430081,30/04/2016,1,124,142,low,Saturday
1644430081,02/05/2016,1,796,961,low,Monday
1644430081,08/05/2016,1,137,154,low,Sunday
1844505072,15/04/2016,1,644,961,low,Friday
1844505072,30/04/2016,1,722,961,low,Saturday
1844505072,01/05/2016,1,590,961,low,Sunday
1927972279,12/04/2016,3,750,775,low,Tuesday
1927972279,13/04/2016,1,398,422,low,Wednesday
1927972279,15/04/2016,2,475,499,low,Friday
1927972279,26/04/2016,1,296,315,low,Tuesday
1927972279,28/04/2016,1,166,178,low,Thursday
2026352035,12/04/2016,1,503,546,high,Tuesday
2026352035,13/04/2016,1,531,565,high,Wednesday
2026352035,14/04/2016,1,545,568,high,Thursday
2026352035,15/04/2016,1,523,573,high,Friday
2026352035,16/04/2016,1,524,567,high,Saturday
2026352035,17/04/2016,1,437,498,high,Sunday
2026352035,19/04/2016,1,498,540,high,Tuesday
2026352035,20/04/2016,1,461,510,high,Wednesday
2026352035,21/04/2016,1,477,514,high,Thursday
2026352035,22/04/2016,1,520,545,high,Friday
2026352035,23/04/2016,1,522,554,high,Saturday
2026352035,24/04/2016,1,555,591,high,Sunday
2026352035,25/04/2016,1,506,531,high,Monday
2026352035,27/04/2016,1,508,545,high,Wednesday
2026352035,28/04/2016,1,513,545,high,Thursday
2026352035,29/04/2016,1,490,510,high,Friday
2026352035,30/04/2016,1,573,607,high,Saturday
2026352035,01/05/2016,1,527,546,high,Sunday
2026352035,02/05/2016,1,511,543,high,Monday
2026352035,04/05/2016,1,538,560,high,Wednesday
2026352035,05/05/2016,1,468,485,high,Thursday
2026352035,06/05/2016,1,524,548,high,Friday
2026352035,07/05/2016,1,511,521,high,Saturday
2026352035,08/05/2016,1,541,568,high,Sunday
2026352035,09/05/2016,1,531,556,high,Monday
2026352035,10/05/2016,1,357,380,high,Tuesday
2026352035,11/05/2016,1,523,553,high,Wednesday
2026352035,12/05/2016,1,456,485,high,Thursday
2320127002,23/04/2016,1,61,69,low,Saturday
2347167796,13/04/2016,1,467,531,medium,Wednesday
2347167796,14/04/2016,1,445,489,medium,Thursday
2347167796,15/04/2016,1,452,504,medium,Friday
2347167796,17/04/2016,1,556,602,medium,Sunday
2347167796,18/04/2016,1,500,557,medium,Monday
2347167796,19/04/2016,1,465,514,medium,Tuesday
2347167796,21/04/2016,1,460,484,medium,Thursday
2347167796,22/04/2016,1,405,461,medium,Friday
2347167796,23/04/2016,1,374,386,medium,Saturday
2347167796,24/04/2016,1,442,459,medium,Sunday
2347167796,25/04/2016,1,433,471,medium,Monday
2347167796,26/04/2016,1,436,490,medium,Tuesday
2347167796,27/04/2016,1,448,499,medium,Wednesday
2347167796,28/04/2016,1,408,450,medium,Thursday
2347167796,29/04/2016,1,411,473,medium,Friday
3977333714,12/04/2016,1,274,469,high,Tuesday
3977333714,13/04/2016,2,295,456,high,Wednesday
3977333714,14/04/2016,1,291,397,high,Thursday
3977333714,15/04/2016,1,424,556,high,Friday
3977333714,16/04/2016,1,283,510,high,Saturday
3977333714,17/04/2016,1,381,566,high,Sunday
3977333714,18/04/2016,2,412,522,high,Monday
3977333714,19/04/2016,1,219,395,high,Tuesday
3977333714,20/04/2016,2,152,305,high,Wednesday
3977333714,21/04/2016,1,332,512,high,Thursday
3977333714,22/04/2016,1,355,476,high,Friday
3977333714,23/04/2016,1,235,372,high,Saturday
3977333714,24/04/2016,1,310,526,high,Sunday
3977333714,25/04/2016,1,262,467,high,Monday
3977333714,26/04/2016,1,250,371,high,Tuesday
3977333714,27/04/2016,1,349,540,high,Wednesday
3977333714,28/04/2016,1,261,423,high,Thursday
3977333714,29/04/2016,1,333,478,high,Friday
3977333714,30/04/2016,1,237,382,high,Saturday
3977333714,01/05/2016,1,383,626,high,Sunday
3977333714,02/05/2016,1,230,384,high,Monday
3977333714,03/05/2016,1,292,500,high,Tuesday
3977333714,04/05/2016,1,213,336,high,Wednesday
3977333714,05/05/2016,1,318,480,high,Thursday
3977333714,06/05/2016,1,323,512,high,Friday
3977333714,07/05/2016,1,237,443,high,Saturday
3977333714,08/05/2016,2,259,456,high,Sunday
3977333714,10/05/2016,1,312,452,high,Tuesday
4020332650,12/04/2016,1,501,541,low,Tuesday
4020332650,16/04/2016,1,77,77,low,Saturday
4020332650,03/05/2016,1,322,332,low,Tuesday
4020332650,04/05/2016,1,478,536,low,Wednesday
4020332650,05/05/2016,1,226,248,low,Thursday
4020332650,06/05/2016,1,385,408,low,Friday
4020332650,08/05/2016,1,364,402,low,Sunday
4020332650,10/05/2016,1,442,494,low,Tuesday
4319703577,14/04/2016,1,535,557,high,Thursday
4319703577,15/04/2016,1,465,491,high,Friday
4319703577,16/04/2016,1,506,522,high,Saturday
4319703577,18/04/2016,1,515,551,high,Monday
4319703577,19/04/2016,2,461,498,high,Tuesday
4319703577,20/04/2016,1,523,543,high,Wednesday
4319703577,21/04/2016,1,59,65,high,Thursday
4319703577,22/04/2016,1,533,550,high,Friday
4319703577,23/04/2016,1,692,722,high,Saturday
4319703577,24/04/2016,1,467,501,high,Sunday
4319703577,25/04/2016,1,488,506,high,Monday
4319703577,26/04/2016,1,505,516,high,Tuesday
4319703577,27/04/2016,1,286,307,high,Wednesday
4319703577,28/04/2016,1,497,522,high,Thursday
4319703577,29/04/2016,1,523,546,high,Friday
4319703577,30/04/2016,1,490,516,high,Saturday
4319703577,01/05/2016,1,484,500,high,Sunday
4319703577,02/05/2016,1,478,506,high,Monday
4319703577,03/05/2016,1,474,512,high,Tuesday
4319703577,06/05/2016,1,450,491,high,Friday
4319703577,07/05/2016,1,507,530,high,Saturday
4319703577,08/05/2016,1,602,638,high,Sunday
4319703577,09/05/2016,1,535,565,high,Monday
4319703577,10/05/2016,1,487,517,high,Tuesday
4319703577,11/05/2016,1,529,558,high,Wednesday
4319703577,12/05/2016,1,302,321,high,Thursday
4388161847,15/04/2016,1,499,526,high,Friday
4388161847,16/04/2016,2,426,448,high,Saturday
4388161847,17/04/2016,2,619,641,high,Sunday
4388161847,18/04/2016,1,99,104,high,Monday
4388161847,19/04/2016,1,329,338,high,Tuesday
4388161847,20/04/2016,1,421,451,high,Wednesday
4388161847,21/04/2016,1,442,458,high,Thursday
4388161847,22/04/2016,1,82,85,high,Friday
4388161847,23/04/2016,1,478,501,high,Saturday
4388161847,24/04/2016,3,552,595,high,Sunday
4388161847,26/04/2016,1,319,346,high,Tuesday
4388161847,27/04/2016,1,439,500,high,Wednesday
4388161847,28/04/2016,1,428,458,high,Thursday
4388161847,30/04/2016,2,409,430,high,Saturday
4388161847,01/05/2016,1,547,597,high,Sunday
4388161847,02/05/2016,2,368,376,high,Monday
4388161847,04/05/2016,1,390,414,high,Wednesday
4388161847,05/05/2016,1,471,495,high,Thursday
4388161847,07/05/2016,1,472,496,high,Saturday
4388161847,08/05/2016,2,529,541,high,Sunday
4388161847,09/05/2016,1,62,65,high,Monday
4388161847,10/05/2016,1,354,375,high,Tuesday
4388161847,11/05/2016,1,469,494,high,Wednesday
4445114986,12/04/2016,2,429,457,high,Tuesday
4445114986,13/04/2016,2,370,406,high,Wednesday
4445114986,14/04/2016,1,441,492,high,Thursday
4445114986,15/04/2016,2,337,379,high,Friday
4445114986,16/04/2016,1,462,499,high,Saturday
4445114986,17/04/2016,1,98,107,high,Sunday
4445114986,19/04/2016,2,388,424,high,Tuesday
4445114986,20/04/2016,1,439,462,high,Wednesday
4445114986,21/04/2016,1,436,469,high,Thursday
4445114986,22/04/2016,1,388,417,high,Friday
4445114986,25/04/2016,1,328,345,high,Monday
4445114986,26/04/2016,2,353,391,high,Tuesday
4445114986,27/04/2016,1,332,374,high,Wednesday
4445114986,28/04/2016,1,419,442,high,Thursday
4445114986,29/04/2016,1,106,108,high,Friday
4445114986,30/04/2016,1,322,353,high,Saturday
4445114986,01/05/2016,2,439,459,high,Sunday
4445114986,02/05/2016,1,502,542,high,Monday
4445114986,03/05/2016,2,417,450,high,Tuesday
4445114986,04/05/2016,2,337,363,high,Wednesday
4445114986,05/05/2016,2,462,513,high,Thursday
4445114986,06/05/2016,2,374,402,high,Friday
4445114986,07/05/2016,2,401,436,high,Saturday
4445114986,08/05/2016,1,361,391,high,Sunday
4445114986,09/05/2016,1,457,533,high,Monday
4445114986,10/05/2016,1,405,426,high,Tuesday
4445114986,11/05/2016,1,499,530,high,Wednesday
4445114986,12/05/2016,1,483,501,high,Thursday
4558609924,21/04/2016,1,126,137,low,Thursday
4558609924,26/04/2016,1,103,121,low,Tuesday
4558609924,29/04/2016,1,171,179,low,Friday
4558609924,01/05/2016,1,115,129,low,Sunday
4558609924,08/05/2016,1,123,134,low,Sunday
4702921684,12/04/2016,1,425,439,high,Tuesday
4702921684,13/04/2016,2,400,430,high,Wednesday
4702921684,14/04/2016,1,384,415,high,Thursday
4702921684,15/04/2016,1,253,257,high,Friday
4702921684,16/04/2016,2,382,406,high,Saturday
4702921684,17/04/2016,1,591,612,high,Sunday
4702921684,18/04/2016,1,293,312,high,Monday
4702921684,19/04/2016,1,457,487,high,Tuesday
4702921684,20/04/2016,1,454,468,high,Wednesday
4702921684,21/04/2016,1,425,434,high,Thursday
4702921684,23/04/2016,1,465,475,high,Saturday
4702921684,24/04/2016,1,480,506,high,Sunday
4702921684,25/04/2016,1,370,380,high,Monday
4702921684,26/04/2016,1,421,429,high,Tuesday
4702921684,27/04/2016,1,432,449,high,Wednesday
4702921684,28/04/2016,1,442,461,high,Thursday
4702921684,29/04/2016,1,433,447,high,Friday
4702921684,30/04/2016,1,479,501,high,Saturday
4702921684,03/05/2016,1,327,373,high,Tuesday
4702921684,04/05/2016,1,412,434,high,Wednesday
4702921684,05/05/2016,1,414,428,high,Thursday
4702921684,06/05/2016,1,404,449,high,Friday
4702921684,07/05/2016,1,520,543,high,Saturday
4702921684,09/05/2016,1,435,458,high,Monday
4702921684,10/05/2016,1,416,431,high,Tuesday
4702921684,11/05/2016,1,354,366,high,Wednesday
4702921684,12/05/2016,1,404,442,high,Thursday
5553957443,12/04/2016,1,441,464,high,Tuesday
5553957443,13/04/2016,2,455,488,high,Wednesday
5553957443,14/04/2016,1,357,418,high,Thursday
5553957443,15/04/2016,1,377,409,high,Friday
5553957443,16/04/2016,2,651,686,high,Saturday
5553957443,17/04/2016,1,350,402,high,Sunday
5553957443,18/04/2016,2,520,541,high,Monday
5553957443,19/04/2016,1,357,410,high,Tuesday
5553957443,20/04/2016,1,658,678,high,Wednesday
5553957443,21/04/2016,1,399,431,high,Thursday
5553957443,22/04/2016,1,322,353,high,Friday
5553957443,23/04/2016,2,631,725,high,Saturday
5553957443,24/04/2016,2,553,640,high,Sunday
5553957443,25/04/2016,1,433,468,high,Monday
5553957443,26/04/2016,1,412,453,high,Tuesday
5553957443,27/04/2016,1,347,391,high,Wednesday
5553957443,28/04/2016,1,421,457,high,Thursday
5553957443,29/04/2016,1,450,495,high,Friday
5553957443,30/04/2016,2,775,843,high,Saturday
5553957443,01/05/2016,2,622,686,high,Sunday
5553957443,02/05/2016,1,409,471,high,Monday
5553957443,03/05/2016,1,380,429,high,Tuesday
5553957443,04/05/2016,1,447,470,high,Wednesday
5553957443,05/05/2016,1,419,464,high,Thursday
5553957443,06/05/2016,1,400,434,high,Friday
5553957443,07/05/2016,1,442,470,high,Saturday
5553957443,08/05/2016,1,568,608,high,Sunday
5553957443,09/05/2016,1,453,494,high,Monday
5553957443,10/05/2016,1,418,443,high,Tuesday
5553957443,11/05/2016,1,463,486,high,Wednesday
5553957443,12/05/2016,1,438,475,high,Thursday
5577150313,12/04/2016,1,419,438,high,Tuesday
5577150313,13/04/2016,1,432,458,high,Wednesday
5577150313,14/04/2016,1,477,497,high,Thursday
5577150313,15/04/2016,1,392,413,high,Friday
5577150313,16/04/2016,1,406,445,high,Saturday
5577150313,17/04/2016,1,549,583,high,Sunday
5577150313,18/04/2016,1,527,553,high,Monday
5577150313,19/04/2016,1,449,465,high,Tuesday
5577150313,20/04/2016,1,447,480,high,Wednesday
5577150313,21/04/2016,1,414,437,high,Thursday
5577150313,22/04/2016,1,338,366,high,Friday
5577150313,23/04/2016,1,384,402,high,Saturday
5577150313,24/04/2016,1,543,615,high,Sunday
5577150313,25/04/2016,1,421,461,high,Monday
5577150313,26/04/2016,1,354,377,high,Tuesday
5577150313,27/04/2016,1,424,452,high,Wednesday
5577150313,28/04/2016,1,361,372,high,Thursday
5577150313,29/04/2016,1,459,485,high,Friday
5577150313,30/04/2016,1,412,433,high,Saturday
5577150313,01/05/2016,1,379,398,high,Sunday
5577150313,02/05/2016,2,525,553,high,Monday
5577150313,03/05/2016,1,508,543,high,Tuesday
5577150313,04/05/2016,1,603,634,high,Wednesday
5577150313,05/05/2016,1,74,78,high,Thursday
5577150313,10/05/2016,1,504,562,high,Tuesday
5577150313,11/05/2016,1,431,476,high,Wednesday
6117666160,16/04/2016,1,380,398,medium,Saturday
6117666160,17/04/2016,2,336,350,medium,Sunday
6117666160,18/04/2016,2,493,510,medium,Monday
6117666160,19/04/2016,1,465,492,medium,Tuesday
6117666160,20/04/2016,1,474,502,medium,Wednesday
6117666160,21/04/2016,1,508,550,medium,Thursday
6117666160,22/04/2016,1,480,546,medium,Friday
6117666160,23/04/2016,1,492,539,medium,Saturday
6117666160,24/04/2016,1,353,367,medium,Sunday
6117666160,27/04/2016,1,542,557,medium,Wednesday
6117666160,28/04/2016,1,393,416,medium,Thursday
6117666160,29/04/2016,1,600,636,medium,Friday
6117666160,01/05/2016,1,507,575,medium,Sunday
6117666160,05/05/2016,1,392,415,medium,Thursday
6117666160,06/05/2016,2,658,698,medium,Friday
6117666160,07/05/2016,2,498,507,medium,Saturday
6117666160,08/05/2016,1,555,603,medium,Sunday
6117666160,09/05/2016,1,492,522,medium,Monday
6775888955,13/04/2016,1,235,260,low,Wednesday
6775888955,14/04/2016,1,423,441,low,Thursday
6775888955,15/04/2016,1,391,406,low,Friday
6962181067,12/04/2016,1,366,387,high,Tuesday
6962181067,13/04/2016,3,630,679,high,Wednesday
6962181067,14/04/2016,2,508,535,high,Thursday
6962181067,15/04/2016,1,370,386,high,Friday
6962181067,16/04/2016,1,357,366,high,Saturday
6962181067,17/04/2016,1,427,446,high,Sunday
6962181067,18/04/2016,1,442,458,high,Monday
6962181067,19/04/2016,1,476,535,high,Tuesday
6962181067,20/04/2016,1,418,424,high,Wednesday
6962181067,21/04/2016,1,451,457,high,Thursday
6962181067,22/04/2016,1,425,435,high,Friday
6962181067,23/04/2016,1,528,546,high,Saturday
6962181067,24/04/2016,1,511,514,high,Sunday
6962181067,25/04/2016,1,400,415,high,Monday
6962181067,26/04/2016,1,441,446,high,Tuesday
6962181067,27/04/2016,1,455,467,high,Wednesday
6962181067,28/04/2016,1,440,453,high,Thursday
6962181067,29/04/2016,1,433,447,high,Friday
6962181067,30/04/2016,1,422,424,high,Saturday
6962181067,01/05/2016,1,411,426,high,Sunday
6962181067,02/05/2016,1,466,482,high,Monday
6962181067,03/05/2016,1,394,418,high,Tuesday
6962181067,04/05/2016,1,442,455,high,Wednesday
6962181067,05/05/2016,1,467,491,high,Thursday
6962181067,06/05/2016,1,443,462,high,Friday
6962181067,07/05/2016,1,298,334,high,Saturday
6962181067,08/05/2016,1,541,569,high,Sunday
6962181067,09/05/2016,1,489,497,high,Monday
6962181067,10/05/2016,1,469,481,high,Tuesday
6962181067,11/05/2016,1,452,480,high,Wednesday
6962181067,12/05/2016,1,516,535,high,Thursday
7007744171,16/04/2016,1,79,82,low,Saturday
7007744171,01/05/2016,1,58,61,low,Sunday
7086361926,12/04/2016,1,514,525,high,Tuesday
7086361926,13/04/2016,1,451,465,high,Wednesday
7086361926,14/04/2016,1,472,476,high,Thursday
7086361926,15/04/2016,1,377,386,high,Friday
7086361926,19/04/2016,1,472,483,high,Tuesday
7086361926,20/04/2016,1,492,502,high,Wednesday
7086361926,21/04/2016,1,390,411,high,Thursday
7086361926,22/04/2016,1,428,448,high,Friday
7086361926,24/04/2016,1,681,704,high,Sunday
7086361926,25/04/2016,1,446,447,high,Monday
7086361926,26/04/2016,1,485,500,high,Tuesday
7086361926,27/04/2016,1,469,479,high,Wednesday
7086361926,28/04/2016,1,354,367,high,Thursday
7086361926,30/04/2016,1,485,489,high,Saturday
7086361926,01/05/2016,1,388,407,high,Sunday
7086361926,02/05/2016,1,440,459,high,Monday
7086361926,03/05/2016,1,456,461,high,Tuesday
7086361926,04/05/2016,1,420,436,high,Wednesday
7086361926,06/05/2016,1,322,333,high,Friday
7086361926,07/05/2016,1,530,548,high,Saturday
7086361926,08/05/2016,1,481,510,high,Sunday
7086361926,09/05/2016,1,427,438,high,Monday
7086361926,11/05/2016,1,451,463,high,Wednesday
7086361926,12/05/2016,1,444,457,high,Thursday
8053475328,20/04/2016,1,486,493,low,Wednesday
8053475328,23/04/2016,1,331,337,low,Saturday
8053475328,07/05/2016,1,74,75,low,Saturday
8378563200,12/04/2016,1,338,356,high,Tuesday
8378563200,13/04/2016,2,447,487,high,Wednesday
8378563200,14/04/2016,1,424,455,high,Thursday
8378563200,15/04/2016,1,513,533,high,Friday
8378563200,16/04/2016,2,611,689,high,Saturday
8378563200,17/04/2016,2,525,591,high,Sunday
8378563200,18/04/2016,1,398,451,high,Monday
8378563200,19/04/2016,1,387,421,high,Tuesday
8378563200,20/04/2016,1,381,409,high,Wednesday
8378563200,21/04/2016,1,396,417,high,Thursday
8378563200,22/04/2016,1,441,469,high,Friday
8378563200,23/04/2016,1,565,591,high,Saturday
8378563200,24/04/2016,1,458,492,high,Sunday
8378563200,25/04/2016,1,388,402,high,Monday
8378563200,26/04/2016,1,550,584,high,Tuesday
8378563200,27/04/2016,1,531,600,high,Wednesday
8378563200,28/04/2016,1,506,556,high,Thursday
8378563200,29/04/2016,1,527,562,high,Friday
8378563200,30/04/2016,1,468,555,high,Saturday
8378563200,01/05/2016,1,475,539,high,Sunday
8378563200,02/05/2016,1,351,385,high,Monday
8378563200,03/05/2016,1,405,429,high,Tuesday
8378563200,04/05/2016,1,441,477,high,Wednesday
8378563200,05/05/2016,1,381,417,high,Thursday
8378563200,06/05/2016,1,323,355,high,Friday
8378563200,07/05/2016,2,459,513,high,Saturday
8378563200,08/05/2016,1,545,606,high,Sunday
8378563200,09/05/2016,1,359,399,high,Monday
8378563200,10/05/2016,1,342,391,high,Tuesday
8378563200,11/05/2016,1,368,387,high,Wednesday
8378563200,12/05/2016,1,496,546,high,Thursday
8792009665,12/04/2016,1,458,493,medium,Tuesday
8792009665,13/04/2016,1,531,552,medium,Wednesday
8792009665,14/04/2016,1,486,503,medium,Thursday
8792009665,15/04/2016,1,363,377,medium,Friday
8792009665,20/04/2016,1,528,547,medium,Wednesday
8792009665,22/04/2016,1,391,407,medium,Friday
8792009665,23/04/2016,1,339,360,medium,Saturday
8792009665,27/04/2016,1,423,428,medium,Wednesday
8792009665,28/04/2016,1,402,416,medium,Thursday
8792009665,29/04/2016,1,398,406,medium,Friday
8792009665,30/04/2016,1,343,360,medium,Saturday
8792009665,01/05/2016,1,503,527,medium,Sunday
8792009665,02/05/2016,1,415,423,medium,Monday
8792009665,03/05/2016,1,516,545,medium,Tuesday
8792009665,04/05/2016,1,439,463,medium,Wednesday